date,ko_price_usd,pep_price_usd,residual_usd,z_score,ko_shares,pep_shares,gross_pnl_usd,transaction_cost_usd,borrow_cost_usd,financing_cost_usd,net_pnl_usd,equity_usd
2023-12-07,54.98759460449219,154.64707946777344,-1.3158398228346044,1.6592934970843125,-1974.5638707598125,660.5019250968129,-289.27674942537806,0.0,4.298322549076672,20.272853380794487,-313.84792535524923,94853.01424940044
2023-12-08,54.86589813232422,153.00326538085938,-0.8876718996360182,1.9387146183147748,-1974.5638707598125,660.5019250968129,-845.4449117661999,0.0,4.308591970080058,20.266804305369874,-870.0203080416499,93982.99394135879
2023-12-11,55.268428802490234,154.9795379638672,-1.1462147277359307,1.6762363873646795,-1974.5638707598125,660.5019250968129,510.50932741016186,0.0,4.299056356701415,20.051379232173844,486.1588918212866,94469.15283318007
2023-12-12,55.624149322509766,155.5797882080078,-0.9912810486313788,1.7535579878439793,-1974.5638707598125,660.5019250968129,-305.92644512374426,0.0,4.33059693281977,20.31037364598192,-330.567415702546,94138.58541747752
2023-12-13,56.101566314697266,158.8489227294922,-1.6074066239020723,1.2179309251741617,-1974.5638707598125,660.5019250968129,1216.5793007806205,0.0,4.358469666427647,20.38903762252849,1191.8317934916643,95330.41721096919
2023-12-14,55.268428802490234,155.3766326904297,-1.2790449872298453,1.4397569509892079,-1974.5638707598125,660.5019250968129,-648.3710243165528,0.0,4.395878013414165,20.817464139361995,-673.584366469329,94656.83284449986
2023-12-15,54.85653305053711,154.22225952148438,-1.3047968865280026,1.3736112839099948,-1974.5638707598125,660.5019250968129,50.84876995759873,0.0,4.33059693281977,20.36241369188278,26.15575933289618,94682.98860383275
2023-12-18,55.24970245361328,155.9861297607422,-1.5016512886592324,1.1756207181995748,-1974.5638707598125,660.5019250968129,388.70159024835016,0.0,4.298322549076672,20.21113081482554,364.19213688444796,95047.1807407172
2023-12-19,55.071842193603516,155.0995635986328,-1.3829505381742635,1.2336445114452432,-1974.5638707598125,660.5019250968129,-234.3822133397058,0.0,4.329129616473593,20.442289483208622,-259.153632439388,94788.02710827782
2023-12-20,53.929771423339844,153.01248168945312,-1.8268815119686224,0.8441723267397725,-1974.5638707598125,660.5019250968129,876.5700619655613,0.0,4.3151932496696555,20.326103241780267,851.9287654741114,95639.95587375193
2023-12-21,54.285499572753906,154.194580078125,-1.8665714459772857,0.785098406227697,-1974.5638707598125,660.5019250968129,78.37030972635785,0.0,4.225705484558009,20.05258704756441,54.09201719423543,95694.04789094617
2023-12-22,54.594417572021484,154.8502197265625,-1.7769683325817596,0.8321747796670627,-1974.5638707598125,660.5019250968129,-176.92707041839964,0.0,4.253578815972504,20.20750336926513,-201.38815260363728,95492.65973834253
2023-12-26,54.819087982177734,155.93995666503906,-1.9168206184859358,0.6873706578116274,-1974.5638707598125,660.5019250968129,276.147270989557,0.0,4.277784304876518,20.293426236321235,251.57606044835927,95744.23579879089
2023-12-27,54.959503173828125,156.43861389160156,-1.9432088728953758,0.6388355618198297,-1974.5638707598125,660.5019250968129,52.10529376929264,0.0,4.295388514190936,20.43623840808966,27.37366684701205,95771.6094656379
2023-12-28,54.9969482421875,156.4293975830078,-1.9026809011877717,0.6496936893401954,-1974.5638707598125,660.5019250968129,-80.02506868901146,0.0,4.306390846109138,20.50158841961902,-104.83304795473961,95666.77641768316
2023-12-29,55.16545104980469,156.84498596191406,-1.873194576339415,0.6529676936067059,-1974.5638707598125,660.5019250968129,-58.22263172704794,0.0,4.309324880994873,20.50038060422845,-83.03233721227126,95583.74408047089
2024-01-02,55.99859619140625,159.68006896972656,-1.9883995044415244,0.5218900588458248,-1974.5638707598125,660.5019250968129,227.47948876390547,0.0,4.322528037980686,20.554844279687867,202.60211644623692,95786.34619691713
2024-01-03,56.12965393066406,159.71701049804688,-1.8696988992997134,0.6170562423874056,-1974.5638707598125,660.5019250968129,-234.38192635035165,0.0,4.3878097163817,20.92638749089211,-259.69612355762547,95526.6500733595
2024-01-04,55.94243240356445,158.35025024414062,-1.5997319848304414,0.872171392641449,-1974.5638707598125,660.5019250968129,-533.0669156115191,0.0,4.3980788384817755,20.93122875092616,-558.396223200927,94968.25385015858
2024-01-05,55.858177185058594,156.01382446289062,-0.9024405796924597,1.6245628171835182,-1974.5638707598125,660.5019250968129,-1376.8464159768064,0.0,4.383408962956404,20.752112128138283,-1401.981937067901,93566.27191309068
2024-01-08,56.27006912231445,156.17079162597656,-0.5430549781042089,2.0287431576058914,-1974.5638707598125,660.5019250968129,-709.6298245674403,0.0,4.376807085560189,20.445918928463392,-734.4525505814639,92831.81936250921
2024-01-09,56.16709899902344,154.37924194335938,-0.046742377853902894,2.578802455130391,0.0,0.0,-980.0009290571137,106.43665545371842,4.409081170399978,20.46648978429578,-1111.3131554655279,91720.50620704368
2024-01-10,56.35432815551758,154.1483612060547,0.21771759082907494,2.7606739223520598,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,91720.50620704368
